Year,Sector_1,Sector_2,Sector_3,Sector_4,Element,Category,Unit,Value
1870,total_industry,total_industry,total_industry,total_industry,Electricity,FinalGJ,GJ,0.0
1870,total_industry,total_industry,total_industry,total_industry,Electricity,PrimaryGJ,GJ,0.0
1870,total_industry,total_industry,total_industry,total_industry,Oil,FinalGJ,GJ,0.0
1870,total_industry,total_industry,total_industry,total_industry,Oil,PrimaryGJ,GJ,0.0
1870,total_industry,total_industry,total_industry,total_industry,Total,GHG,kgCO2,2172569684.70032
1870,total_industry,total_industry,total_industry,total_industry,ValueAdded,ValueAdded,Euros,1444218707.34828
1871,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,4598222.68171684
1871,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,9995250.93336744
1871,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,23310009.2737768
1871,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,25737464.4760441
1871,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,1175244.33682977
1871,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,1173972.97723
1871,total_industry,total_industry,total_industry,total_industry,Electricity,FinalGJ,GJ,0.0
1871,total_industry,total_industry,total_industry,total_industry,Electricity,PrimaryGJ,GJ,0.0
1871,total_industry,total_industry,total_industry,total_industry,Oil,FinalGJ,GJ,0.0
1871,total_industry,total_industry,total_industry,total_industry,Oil,PrimaryGJ,GJ,0.0
1871,total_industry,total_industry,total_industry,total_industry,Total,GHG,kgCO2,2540035346.61405
1871,total_industry,total_industry,total_industry,total_industry,ValueAdded,ValueAdded,Euros,1675022252.9189
1872,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,4721260.15655944
1872,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,10244050.4254886
1872,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,25416130.1050568
1872,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,28097699.7021559
1872,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,1232327.94506475
1872,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,1229882.50174377
1872,total_industry,total_industry,total_industry,total_industry,Electricity,FinalGJ,GJ,0.0
1872,total_industry,total_industry,total_industry,total_industry,Electricity,PrimaryGJ,GJ,0.0
1872,total_industry,total_industry,total_industry,total_industry,Oil,FinalGJ,GJ,0.0
1872,total_industry,total_industry,total_industry,total_industry,Oil,PrimaryGJ,GJ,0.0
1872,total_industry,total_industry,total_industry,total_industry,Total,GHG,kgCO2,2770143537.85564
1872,total_industry,total_industry,total_industry,total_industry,ValueAdded,ValueAdded,Euros,1812309231.51777
1873,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,5610735.15496984
1873,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,12156099.6501608
1873,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,32153550.6551774
1873,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,35580201.3770393
1873,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,1498203.4724822
1873,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,1494173.74441527
1873,total_industry,total_industry,total_industry,total_industry,Electricity,FinalGJ,GJ,0.0
1873,total_industry,total_industry,total_industry,total_industry,Electricity,PrimaryGJ,GJ,0.0
1873,total_industry,total_industry,total_industry,total_industry,Oil,FinalGJ,GJ,0.0
1873,total_industry,total_industry,total_industry,total_industry,Oil,PrimaryGJ,GJ,0.0
